Species,Amino_acid,Mean,Standard Deviation
Dfic,Methionine,9.853293413,7.891659837
Drho,Methionine,9.881736527,7.859109554
Dele,Methionine,10.02994012,8.003878482
Deug,Methionine,9.914670659,7.882013783
Dere,Methionine,10.10628743,8.077719704
Dyak,Methionine,9.964071856,7.899209317
Dmel,Methionine,10.01197605,8.0851822
Dsec,Methionine,10.05688623,8.084619777
Dsim,Methionine,10.04491018,8.086549505
Dtak,Methionine,9.826347305,7.758523512
Dbia,Methionine,9.841317365,7.844552311
Dsuz,Methionine,9.79491018,7.900135946
Dbus,Phenylalanine,15.47754491,11.83878863
Dgri,Phenylalanine,15.74850299,12.12526749
Dvir,Phenylalanine,15.65868263,12.08690295
Dnov,Phenylalanine,15.63473054,12.02962823
Dhyd,Phenylalanine,15.70359281,11.98795694
Dnav,Phenylalanine,15.53742515,11.98975477
Dmoj,Phenylalanine,15.53892216,11.95782118
Dari,Phenylalanine,15.45658683,11.92076169
Dwil,Phenylalanine,15.95359281,12.16820896
Dobs,Phenylalanine,15.85778443,12.36946775
Dmir,Phenylalanine,16.03143713,12.47572394
Dper,Phenylalanine,15.95209581,12.42588022
Dpse,Phenylalanine,16.00748503,12.38699822
Dbip,Phenylalanine,16.16616766,12.4745351
Dana,Phenylalanine,16.21706587,12.45005166
Dser,Phenylalanine,15.93862275,12.18636417
Dkik,Phenylalanine,15.94311377,12.30715339
Dfic,Phenylalanine,16.28892216,12.48214545
Drho,Phenylalanine,16.10479042,12.48355228
Dele,Phenylalanine,16.06886228,12.40670324
Deug,Phenylalanine,16.21706587,12.46413298
Dere,Phenylalanine,16.10329341,12.41425601
Dyak,Phenylalanine,16.01646707,12.26352442
Dmel,Phenylalanine,16.04041916,12.35299821
Dsec,Phenylalanine,16.1002994,12.33212793
Dsim,Phenylalanine,16.07035928,12.30763181
Dtak,Phenylalanine,16.10479042,12.48235124
Dbia,Phenylalanine,16.04491018,12.33239373
Dsuz,Phenylalanine,15.89371257,12.33499511
Dbus,Proline,19.42215569,16.20580495
Dgri,Proline,19.75748503,16.53403707
Dvir,Proline,20.3997006,16.84305719
Dnov,Proline,20.28592814,16.67343935
Dhyd,Proline,19.81736527,16.41833722
Dnav,Proline,20.26197605,16.57463038
Dmoj,Proline,20.31137725,16.74373536
Dari,Proline,20.1242515,16.59919468
Dwil,Proline,20.00748503,17.54022845
Dobs,Proline,20.89670659,18.84179669
Dmir,Proline,21.06437126,19.19302378
Dper,Proline,21.09431138,19.21148217
Dpse,Proline,21.06437126,19.17504907
Dbip,Proline,21.29041916,18.81112859
Dana,Proline,21.39820359,18.73399678
Dser,Proline,21.07185629,18.43935523
Dkik,Proline,21.2754491,18.62698295
Dfic,Proline,21.04790419,18.41950221
Drho,Proline,20.80838323,18.27876235
Dele,Proline,20.94610778,18.29805128
Deug,Proline,20.66017964,18.32211618
Dere,Proline,20.79790419,18.29615263
Dyak,Proline,20.96107784,18.48160429
Dmel,Proline,20.73203593,18.24820685
Dsec,Proline,20.9011976,18.32872738
Dsim,Proline,20.9251497,18.28068091
Dtak,Proline,20.94311377,18.21937937
Dbia,Proline,21.32185629,18.66672114
Dsuz,Proline,20.7739521,18.14504557
Dbus,Serine,28.30239521,22.89945811
Dgri,Serine,29.38023952,23.74001547
Dvir,Serine,29.10778443,23.71773796
Dnov,Serine,28.96706587,23.21715734
Dhyd,Serine,29.37874251,23.77856298
Dnav,Serine,29.30988024,24.0794803
Dmoj,Serine,29.41916168,24.08177705
Dari,Serine,29.16017964,23.78482567
Dwil,Serine,30.30688623,24.38140492
Dobs,Serine,30.1002994,24.80690889
Dmir,Serine,30.30688623,25.0605889
Dper,Serine,30.16616766,24.90758196
Dpse,Serine,30.18413174,24.74549167
Dbip,Serine,30.04191617,23.95006131
Dana,Serine,30.08083832,24.00311183
Dser,Serine,30.17964072,24.1634999
Dkik,Serine,30.12874251,24.24070103
Dfic,Serine,30.18862275,23.91859738
Drho,Serine,30.01646707,24.29111358
Dele,Serine,30.12874251,24.29827544
Deug,Serine,30.3742515,24.52286627
Dere,Serine,30.21856287,24.45171143
Dyak,Serine,30.06736527,24.35882339
Dmel,Serine,30.11077844,24.24876703
Dsec,Serine,30.17964072,24.33124863
Dsim,Serine,30.06586826,24.29050511
Dtak,Serine,30.0494012,23.97197795
Dbia,Serine,30.02694611,24.29132023
Dsuz,Serine,29.62724551,24.01761548
Dbus,Threonine,22.00748503,17.74359113
Dgri,Threonine,22.8742515,18.92466867
Dvir,Threonine,22.42964072,17.61182703
Dnov,Threonine,22.22754491,17.23770723
Dhyd,Threonine,22.5748503,18.2146644
Dnav,Threonine,22.17065868,17.7597892
Dmoj,Threonine,22.32185629,17.87386259
Dari,Threonine,22.17664671,17.85293729
Dwil,Threonine,22.60329341,18.48358698
Dobs,Threonine,22.27245509,17.52831991
Dmir,Threonine,22.42065868,17.73284989
Dper,Threonine,22.39670659,17.68497752
Dpse,Threonine,22.42365269,17.70680361
Dbip,Threonine,21.97305389,17.14220945
Dana,Threonine,21.88323353,17.14445602
Dser,Threonine,21.82035928,17.50469815
Dkik,Threonine,21.59580838,16.9379708
Dfic,Threonine,21.6002994,17.26008299
Drho,Threonine,21.20808383,16.8905142
Dele,Threonine,21.27245509,16.85214
Deug,Threonine,21.7994012,16.86168798
Dere,Threonine,21.63023952,16.78364258
Dyak,Threonine,21.7739521,16.98490673
Dmel,Threonine,21.63023952,17.05655419
Dsec,Threonine,21.66017964,16.84357261
Dsim,Threonine,21.62275449,16.83026358
Dtak,Threonine,21.07784431,16.68833958
Dbia,Threonine,21.41766467,17.01919155
Dsuz,Threonine,21.66616766,19.30255265
Dbus,Tryptophan,4.438622754,4.401254342
Dgri,Tryptophan,4.423652695,4.354443574
Dvir,Tryptophan,4.464071856,4.354276831
Dnov,Tryptophan,4.453592814,4.382663368
Dhyd,Tryptophan,4.444610778,4.369196832
Dnav,Tryptophan,4.452095808,4.385383085
Dmoj,Tryptophan,4.44011976,4.369137501
Dari,Tryptophan,4.428143713,4.371701095
Dwil,Tryptophan,4.480538922,4.463200693
Dobs,Tryptophan,4.480538922,4.443000156
Dmir,Tryptophan,4.52994012,4.531151744
Dper,Tryptophan,4.502994012,4.474313498
Dpse,Tryptophan,4.519461078,4.474942229
Dbip,Tryptophan,4.53742515,4.47382264
Dana,Tryptophan,4.543413174,4.447215158
Dser,Tryptophan,4.526946108,4.460809685
Dkik,Tryptophan,4.550898204,4.473354305
Dfic,Tryptophan,4.510479042,4.454488605
Drho,Tryptophan,4.491017964,4.429515646
Dele,Tryptophan,4.501497006,4.452817531
Deug,Tryptophan,4.502994012,4.441691874
Dere,Tryptophan,4.532934132,4.453032498
Dyak,Tryptophan,4.513473054,4.452460658
Dmel,Tryptophan,4.502994012,4.45920943
Dsec,Tryptophan,4.525449102,4.439594131
Dsim,Tryptophan,4.516467066,4.442674826
Dtak,Tryptophan,4.523952096,4.469221205
Dbia,Tryptophan,4.513473054,4.448418135
Dsuz,Tryptophan,4.453592814,4.347630518
Dbus,Tyrosine,13.75598802,10.69624393
Dgri,Tyrosine,13.83682635,10.58734033
Dvir,Tyrosine,14.04640719,10.77447435
Dnov,Tyrosine,14.01347305,10.77693124
Dhyd,Tyrosine,14.06736527,10.69237062
Dnav,Tyrosine,14.06287425,10.78572543
Dmoj,Tyrosine,14.06437126,10.78675906
Dari,Tyrosine,13.98652695,10.73832679
Dwil,Tyrosine,13.93413174,10.62831935
Dobs,Tyrosine,13.57634731,10.25076194
Dmir,Tyrosine,13.67964072,10.38937896
Dper,Tyrosine,13.64371257,10.27122468
Dpse,Tyrosine,13.66167665,10.27314653
Dbip,Tyrosine,13.54341317,10.35934137
Dana,Tyrosine,13.50748503,10.38732379
Dser,Tyrosine,13.54041916,10.52062362
Dkik,Tyrosine,13.50149701,10.35002108
Dfic,Tyrosine,13.42215569,10.24855657
Drho,Tyrosine,13.34580838,10.33219726
Dele,Tyrosine,13.34580838,10.3294399
Deug,Tyrosine,13.5494012,10.46271095
Dere,Tyrosine,13.42065868,10.26929711
Dyak,Tyrosine,13.42215569,10.30283233
Dmel,Tyrosine,13.45958084,10.37670588
Dsec,Tyrosine,13.50598802,10.42751636
Dsim,Tyrosine,13.44161677,10.34826272
Dtak,Tyrosine,13.33682635,10.28056303
Dbia,Tyrosine,13.4760479,10.36808452
Dsuz,Tyrosine,13.33832335,10.34629332
Dbus,Valine,24.5988024,18.76208173
Dgri,Valine,25.34730539,18.78831119
Dvir,Valine,25.24401198,18.83142395
Dnov,Valine,25.15868263,18.83118325
Dhyd,Valine,25.41167665,19.11504619
Dnav,Valine,25.19760479,18.85086727
Dmoj,Valine,25.27245509,18.84523941
Dari,Valine,25.08682635,18.66459918
Dwil,Valine,24.98203593,18.98345308
Dobs,Valine,25.86676647,19.61622581
